ID,Included (Yes/No),Author,year,Ref,Body Comp Method,intervention,int_pre_m,int_pre_sd,con_pre_m,con_pre_sd,int_post_m,int_post_sd,con_post_m,con_post_sd,INT_delta_M,INT_delta_SD,INT_N,con_delta_M,con_delta_SD,con_N
1,YES,Aas,2020,"Aas, S. N., et al., 2020,Strength training and protein supplementation improve muscle mass, strength, and function in mobility-limited older adults: A randomized controlled trial",DXA,ST,,,,,,,,,0.67,0.335,11,0.09,0.34,11
3,YES,Aleman-Mateo,2014,"Aleman-Mateo, H., et al., 2014,Nutrient-rich dairy proteins improve appendicular skeletal muscle mass and physical performance, and attenuate the loss of muscle strength in older men and women subjects: A single-blind randomized clinical trial",DXA,IG/HD+RCH,40.6,8.6,41.7,8.4,40.7,8.4,41.3,8.7,0.4,3,25,-0.9,2.7,25
5,YES,Amasene,2019,"Amasene, M., et al., 2019,Effects of leucine-enriched whey protein supplementation on physical function in post-hospitalized older adults participating in 12-weeks of resistance training program: A randomized controlled trial",DXA,Protein Group,42.3,6.63,45.2,9.85,42.5,6.61,44.7,8.54,0.2,1.02,15,-0.4,2.52,13
8,YES,Antonio,2014,"Antonio, J., et al., 2014,The effects of consuming a high protein diet (4.4 g/kg/d) on body composition in resistance-trained individuals",BodPod,High Protein,59.5,10.9,65.2,11.7,61.4,11.6,66.5,11.7,1.9,2.4,20,1.3,2,10
9,YES,Antonio,2015,"Antonio, J., et al., 2015,A high protein diet (3.4 g/kg/d) combined with a heavy resistance training program improves body composition in healthy trained men and women - a follow-up investigation",BodPod,HP,61.4,11.8,59.6,13.4,62.9,11.3,61.1,13.5,1.5,2.13,31,1.51,1.83,17
10,YES,Aristizabal,2015,"Aristizabal, J. C., et al., 2015,Effect of resistance training on resting metabolic rate and its estimation by a dual-energy x-ray absorptiometry metabolic map",DXA,Whey,51.7,10.7,49.8,9.8,55,11.1,52.1,10.3,3.3,1.5,18,2.3,1.7,22
10,YES,Aristizabal,2015,"Aristizabal, J. C., et al., 2015,Effect of resistance training on resting metabolic rate and its estimation by a dual-energy x-ray absorptiometry metabolic map",DXA,Soy,48.5,10,49.8,9.8,50.3,10.7,52.1,10.3,1.8,1.6,21,2.3,1.7,22
11,YES,Arnarson,2013,"Arnarson, A., et al., 2013,Effects of whey proteins and carbohydrates on the efficacy of resistance training in elderly people: Double blind, randomised controlled trial",DXA,Whey protein,48,11,48,9.4,,,,,0.7,1.1,75,0.9,1.5,66
12,YES,Babault,2014,"Babault, N., et al., 2014,Effects of soluble milk protein or casein supplementation on muscle fatigue following resistance training program: A randomized, double-blind, and placebo-controlled study",Ultrasonography,Soluble Milk Protein,21.5,3.5,21,3.2,22.2,3.5,22,3.6,0.7,2.213594362,22,1,2.18357505,24
12,YES,Babault,2014,"Babault, N., et al., 2014,Effects of soluble milk protein or casein supplementation on muscle fatigue following resistance training program: A randomized, double-blind, and placebo-controlled study",Ultrasonography,Micellar Casein Protein,21.8,3.1,21,3.2,22.1,3.1,22,3.6,0.3,1.960612149,22,1,2.18357505,24
13,YES,Babault,2015,"Babault, N., et al., 2015,Pea proteins oral supplementation promotes muscle thickness gains during resistance training: A double-blind, randomized, placebo-controlled clinical trial vs. Whey protein",Ultrasonography,Whey,24.31,0.473,25.4,0.48621,26.69,0.6305,27.32,0.56505,2.38,0.379600909,46,1.92,0.340747604,44
13,YES,Babault,2015,"Babault, N., et al., 2015,Pea proteins oral supplementation promotes muscle thickness gains during resistance training: A double-blind, randomized, placebo-controlled clinical trial vs. Whey protein",Ultrasonography,Pea,25.02,0.4862,25.4,0.48621,27.92,0.5519,27.32,0.56505,2.9,0.334140692,47,1.92,0.340747604,44
14,YES,Bartholomae,2019,"Bartholomae, E., et al., 2019,Mung bean protein supplement improves muscular strength in healthy, underactive vegetarian adults",DXA,PRO,39.7,8.3,39.9,8.3,39.3,8.8,39.4,8.7,0.2,0.9,11,0,0.7,14
18,YES,Bridge,2019,"Bridge, A., et al., 2019,Greek yogurt and 12 weeks of exercise training on strength, muscle thickness and body composition in lean, untrained, university-aged males",BodPod,GY,60.1,7.9,57.5,6.9,62.5,7.6,58.8,6.5,2.25949,1.492,14,1.2594,1.397,15
20,YES,Brown,2004,"Brown, E. C., et al., 2004,Soy versus whey protein bars: Effects on exercise training impact on lean body mass and antioxidant status",Hydrostatic weighing,Whey,67,5.88,67,4.95,,,,,2.105,2.391,9,0.2015,0.27,9
20,YES,Brown,2004,"Brown, E. C., et al., 2004,Soy versus whey protein bars: Effects on exercise training impact on lean body mass and antioxidant status",Hydrostatic weighing,Soy,66,6.9,67,4.95,,,,,1.71,2.0835,9,0.2015,0.27,9
22,YES,Burke,2001,"Burke, D. G., et al., 2001,The effect of whey protein supplementation with and without creatine monohydrate combined with resistance training on lean tissue mass and muscle strength",DXA,Whey,60.579,2.012,61.61585,2.68293,63.079,1.8597,62.62195,2.5304788,2.5,1.232834884,12,1.0061,1.654956302,11
24,YES,Campbell,2018,"Campbell, B. I., et al., 2018,Effects of high versus low protein intake on body composition and maximal strength in aspiring female physique athletes engaging in an 8-week resistance training program",Ultrasonography,High PRO,47.1,4.5,48.1,2.7,49.2,5.4,48.7,2,2.1,3.244996148,8,0.6,1.62788206,9
25,YES,Candow,2006,"Candow, D. G., et al., 2006,Effect of whey and soy protein supplementation combined with resistance training in young adults",DXA,W (whey),53.99284,2.50296,54.3504,2.97975,56.13825,4.29075,54.58879,4.64821,2.14541,2.737156066,9,0.23839,2.885127427,9
25,YES,Candow,2006,"Candow, D. G., et al., 2006,Effect of whey and soy protein supplementation combined with resistance training in young adults",DXA,S (soy),55.6615,2.5029,54.3504,2.97975,56.37663,4.648,54.58879,4.64821,0.71513,3.042177787,9,0.23839,2.885127427,9
26,YES,Candow,2006a,"Candow, D. G., et al., 2006a,Protein supplementation before and after resistance training in older men",DXA,PRO-B,58.9142,5.0994,59.6714,7.9961,59.6,5.0145,60.1428,8.0864,0.6858,3.199310008,9,0.4714,5.086454493,10
26,YES,Candow,2006a,"Candow, D. G., et al., 2006a,Protein supplementation before and after resistance training in older men",DXA,PRO-A,55.4,6.9119,59.6714,7.9961,56.3,7.0022,60.1428,8.0864,0.9,4.400858616,10,0.4714,5.086454493,10
28,YES,Chale,2013,"Chale, A., et al., 2013,Efficacy of whey protein supplementation on resistance exerciseinduced changes in lean mass, muscle strength, and physical function in mobility-limited older adults",DXA,Whey,46.7,8.6,46.4,8.4,47.3,8.6,46.7,8.4,0.6,5.439117575,42,0.3,5.312626469,38
29,YES,Coburn,2006,"Coburn, J. W., et al., 2006,Effects of leucine and whey protein supplementation during eight weeks of unilateral resistance training ",Hydrostatic weighing,SUPP,64.4,8.9549,68.2,8.6603,64.7,9.2865,67.4,8.3138,0.3,5.77700875,11,-0.8,5.377737731,12
32,YES,Deibert,2011,"Deibert, P., et al., 2011,Soy protein based supplementation supports metabolic effects of resistance training in previously untrained middle aged males",Skin fold,RTS ,68.5,7.2,67.3,4.1,70.1,7.4,68.1,3.4,1.6,4.620822438,13,0.8,2.46292509,13
33,YES,Dillon,2009,"Dillon, E. L., et al., 2009,Amino acid supplementation increases lean body mass, basal muscle protein synthesis, and insulin-like growth factor-i expression in older women",DXA,SUP,43.5,2.8,40.7,2.4,45.2,3,41,2.8,1.7,1.843908891,7,0.3,1.687601849,7
34,YES,Dulac,2020,"Dulac, M. C., et al., 2020,Effects of slow versus fast-digested protein supplementation combined with mixed power training on muscle function and functional capacities in older men",DXA,F-PROT+MPT  (whey),53.6,4.4,51.6,5.6,54.6,4.6,52.5,5.6,2,2.4,21,1.9,2.3,19
34,YES,Dulac,2020,"Dulac, M. C., et al., 2020,Effects of slow versus fast-digested protein supplementation combined with mixed power training on muscle function and functional capacities in older men",DXA, S-PROT+MPT (casein),52.7,4.3,51.6,5.6,53.9,4.7,52.5,5.6,2.3,2.9,20,1.9,2.3,19
